"probe_id","symbol","log2FC","CI.L","CI.R","pvalue","adj_pval","dataset"
"200626_s_at","MATR3 /// SNHG4",-1.159155454375,-1.77805737302553,-0.540253535724472,0.00120673891446956,0.00792760920012927,"GSE25628"
"200627_at","PTGES3",-0.835295338333332,-1.30228992352282,-0.368300753143842,0.00173463935457453,0.00993593726103232,"GSE25628"
"200628_s_at","WARS",0.358291924916668,-0.0798092228002201,0.796393072633555,0.101611107065048,0.179521820294082,"GSE25628"
"200629_at","WARS",0.13447526525,-0.294948329479226,0.563898859979225,0.514041565210195,0.609298121670785,"GSE25628"
"200630_x_at","SET /// SETSIP",-0.553377697083332,-0.993390063823498,-0.113365330343166,0.017182898269263,0.0485150094733043,"GSE25628"
"200631_s_at","SET /// SETSIP",-0.681899839166665,-1.22931888861153,-0.134480789721802,0.018078862461215,0.0502622886966281,"GSE25628"
"200632_s_at","NDRG1",0.935079300333334,0.0275523456943878,1.84260625497228,0.0442342975178722,0.0967128713127528,"GSE25628"
"200633_at","UBB",0.0480551987499993,-0.17022644459229,0.266336842092289,0.645166485069821,0.723429495540363,"GSE25628"
"200634_at","PFN1",0.333383040416667,-0.060915203602027,0.727681284435362,0.0915271651937806,0.166322755446762,"GSE25628"
"200635_s_at","PTPRF",-1.31512110595833,-1.86430330341194,-0.765938908504729,0.000135928597477696,0.00219585305729561,"GSE25628"
"200636_s_at","PTPRF",-0.517796617499999,-0.966810932054162,-0.0687823029458354,0.0266798384067481,0.0668527194046081,"GSE25628"
"200637_s_at","PTPRF",-1.01853299970833,-1.64700156021372,-0.390064439202944,0.00359110642702386,0.0160608467927747,"GSE25628"
"200638_s_at","YWHAZ",-0.635938423749999,-1.05489190558997,-0.21698494191003,0.00560825178453094,0.0218932896575036,"GSE25628"
"200639_s_at","YWHAZ",-0.508447884291666,-0.907644092894056,-0.109251675689277,0.0160502516288012,0.0460836142253833,"GSE25628"
"200640_at","YWHAZ",-0.317313300916666,-0.781853341071928,0.147226739238596,0.16571208193056,0.258332263762568,"GSE25628"
"200641_s_at","YWHAZ",-1.15226860333333,-1.64121523802786,-0.663321968638809,0.00015865554772624,0.00241914417296197,"GSE25628"
"200642_at","SOD1",0.188693094166668,-0.0203855709810262,0.397771759314361,0.0735227373207312,0.141281177208237,"GSE25628"
"200643_at","HDLBP",0.474723374583335,0.112266823440271,0.837179925726399,0.0137617743760974,0.0413564025136411,"GSE25628"
"200644_at","MARCKSL1",0.770454183333334,0.273592314860515,1.26731605180615,0.00486625278642843,0.0198399548541849,"GSE25628"
"200645_at","GABARAP",0.604977284583335,0.358684045263668,0.851270523903002,0.00010600467832471,0.00193583483230409,"GSE25628"
"200646_s_at","NUCB1",1.40090745408333,0.794391002247092,2.00742390591958,0.000192153396540374,0.00269899193866956,"GSE25628"
"200647_x_at","EIF3C /// EIF3CL",0.395213795000001,0.0239593076601369,0.766468282339865,0.0384874397112598,0.0871237368608611,"GSE25628"
"200648_s_at","GLUL",1.35374365529167,0.301720277238887,2.40576703334445,0.0151777430921571,0.0442558354534011,"GSE25628"
"200649_at","NUCB1",1.50857648420833,0.989845354018817,2.02730761439785,1.83790770575958e-05,0.000850870138196659,"GSE25628"
"200650_s_at","LDHA",-0.78831289,-1.32067817450183,-0.255947605498171,0.00658771396570383,0.024413966529009,"GSE25628"
"200651_at","GNB2L1 /// SNORD95 /// SNORD96A",0.215822485833334,-0.0205765075740066,0.452221479240674,0.0705875921485705,0.137166764680191,"GSE25628"
"200652_at","SSR2",0.760770499166669,0.412739022852615,1.10880197548072,0.000320564906957058,0.00355638666946334,"GSE25628"
"200653_s_at","CALM1 /// CALM2 /// CALM3",-0.784467059625,-1.08661055860062,-0.482323560649377,6.07693340022504e-05,0.00145188451228811,"GSE25628"
"200654_at","P4HB",0.320458410000001,-0.00339180986226378,0.644308629862266,0.0521453602688026,0.10945464908208,"GSE25628"
"200655_s_at","CALM1 /// CALM2 /// CALM3",-0.721435488374999,-1.04886236551966,-0.394008611230343,0.00029814796530938,0.00343983124591795,"GSE25628"
"200656_s_at","P4HB",0.54270431275,0.175641767623913,0.909766857876087,0.00665273122424065,0.0245735190652311,"GSE25628"
"200657_at","SLC25A5",-0.0202682924999985,-0.469265688534241,0.428729103534244,0.924507278105132,0.944909553787302,"GSE25628"
"200658_s_at","PHB",0.31126918525,-0.0778295971008796,0.700367967600879,0.108622560188513,0.188376580919745,"GSE25628"
"200659_s_at","PHB",0.598985868708334,0.24604165427943,0.951930083137238,0.00257760428883153,0.0129327231401576,"GSE25628"
"200660_at","S100A11",-0.0868968354166653,-0.478614550531552,0.304820879698221,0.642661042066295,0.721418998947385,"GSE25628"
"200661_at","CTSA",0.896545838333333,0.308389472185353,1.48470220448131,0.00545449321205782,0.0214567800256069,"GSE25628"
"200662_s_at","TOMM20",-0.890989164083333,-1.63103873150622,-0.150939596660449,0.0215635184080447,0.0573968525764377,"GSE25628"
"200663_at","CD63",0.520963652916667,0.222580755108455,0.819346550724879,0.0020862359963326,0.0112150287862696,"GSE25628"
"200664_s_at","DNAJB1",-0.6097150165,-1.39060505092401,0.171175017924008,0.116621623817763,0.198850356968107,"GSE25628"
"200665_s_at","SPARC",1.00757831441667,-0.0791524602504186,2.09430908908375,0.0667713411542544,0.131587505917669,"GSE25628"
"200666_s_at","DNAJB1",0.419161210208335,0.0999699170713713,0.738352503345298,0.013559738133878,0.0408976829689142,"GSE25628"
"200667_at","UBE2D3",-0.685829121791666,-1.11750696293146,-0.254151280651871,0.00412446421755322,0.0176905174515131,"GSE25628"
"200668_s_at","UBE2D3",-0.923106643083334,-1.31814960928781,-0.528063676878853,0.000172078391946674,0.00252196732723425,"GSE25628"
"200669_s_at","UBE2D3",-0.859669633583333,-1.25114211455515,-0.468197152611516,0.000307411412432645,0.00348509111183819,"GSE25628"
"200670_at","XBP1",-0.498304669333335,-0.922891587606434,-0.0737177510602351,0.0244945282950584,0.0629734110593209,"GSE25628"
"200671_s_at","SPTBN1",0.729662261125,0.363207976183479,1.09611654606652,0.000727998870620206,0.00575705745147544,"GSE25628"
"200672_x_at","SPTBN1",0.945885658708335,0.348283079428324,1.54348823798835,0.00423239068007094,0.0180139409973138,"GSE25628"
"200673_at","LAPTM4A",-0.600140666666666,-1.12881530981473,-0.0714660235185998,0.0287579104475179,0.0705317594450465,"GSE25628"
"200674_s_at","RPL32",0.116935420416668,-0.057990471324871,0.291861312158206,0.174346866253967,0.268356604680413,"GSE25628"
"200675_at","CD81",0.361752632083333,0.0403738363417105,0.683131427824956,0.0299219489782996,0.0725464664425819,"GSE25628"
"200676_s_at","UBE2L3",1.13805032525,0.704045401460529,1.57205524903947,5.49044526689849e-05,0.00138674205454306,"GSE25628"
"200677_at","PTTG1IP",0.314496306666668,-0.0590869457312274,0.688079559064562,0.0928119853351049,0.168122670134179,"GSE25628"
"200678_x_at","GRN",0.667257723125001,-0.0225913650958293,1.35710681134583,0.0569931899655356,0.116834203815426,"GSE25628"
"200679_x_at","HMGB1",-0.900787199666667,-1.60260922012583,-0.1989651792075,0.0153928784663809,0.044725075465706,"GSE25628"
"200680_x_at","HMGB1",-0.773346619166665,-1.31615181070411,-0.230541427629225,0.00839482157233433,0.0289312252733434,"GSE25628"
"200681_at","GLO1",-0.729034311666666,-1.29855957654756,-0.159509046785774,0.015619116498998,0.0451879296426205,"GSE25628"
"200682_s_at","UBE2L3",-0.146505107666666,-0.583796782742645,0.290786567409312,0.485553464995369,0.584085238927687,"GSE25628"
